Year,Month,Cbs district,Name,Residential Area Type,Total Population,Gender Ratio,Total jobseekers,Academic,Unemployed job seekers,Estimated unemployed rate in city
2010,2,אזור יהודה והשומרון,מעלה אדומים,מועצה מקומית,17884,0.7176781,651,96,643,0.0364
2010,2,אזור יהודה והשומרון,עמנואל,יישוב כפרי,960,1.304347826,106,6,106,0.1104
2010,2,אזור יהודה והשומרון,קדומים,יישוב כפרי,1595,1.166666667,26,9,26,0.0163
2010,2,אזור יהודה והשומרון,קריית ארבע,מועצה מקומית,2790,1.118644068,125,23,125,0.0448
2010,2,אזור יהודה והשומרון,קרני שומרון,מועצה מקומית,3251,1.46875,79,16,79,0.0243
2010,2,הדרום,אופקים,מועצה מקומית,11353,0.758323058,1426,98,1416,0.1256
2010,2,הדרום,אילת,עיר,31199,0.91723356,1691,83,1670,0.0542
2010,2,הדרום,אשדוד,עיר,101100,0.67452201,7532,870,7467,0.0745
2010,2,הדרום,אשקלון,עיר,58569,0.719558761,4053,632,3988,0.0692
2010,2,הדרום,באר שבע,עיר,95192,0.770296601,8177,1039,8126,0.0859
2010,2,הדרום,דימונה,מועצה מקומית,17787,0.792120704,2138,145,2106,0.1202
2010,2,הדרום,חורה,מועצה מקומית,3015,0.836411609,696,0,696,0.2308
2010,2,הדרום,ירוחם,מועצה מקומית,4201,0.982378855,450,32,443,0.1071
2010,2,הדרום,כסיפה,מועצה מקומית,3736,0.817005545,983,1,982,0.2631
2010,2,הדרום,להבים,מועצה מקומית,3072,1.125,51,27,51,0.0166
2010,2,הדרום,לקיה,מועצה מקומית,3216,0.932773109,920,5,918,0.286
2010,2,הדרום,מיתר,מועצה מקומית,3680,0.714285714,60,23,60,0.0163
2010,2,הדרום,מצפה רמון,מועצה מקומית,2451,0.591194969,253,21,230,0.1032
2010,2,הדרום,נתיבות,מועצה מקומית,11683,0.754752852,923,50,915,0.079
2010,2,הדרום,עומר,מועצה מקומית,3719,0.648648649,61,25,61,0.0164
2010,2,הדרום,ערד,מועצה מקומית,12717,0.729064039,1053,191,1027,0.0828
2010,2,הדרום,ערערה-בנגב,מועצה מקומית,3159,0.659498208,926,3,925,0.2931
2010,2,הדרום,קריית גת,עיר,25166,0.666882696,2572,215,2562,0.1022
2010,2,הדרום,קריית מלאכי,מועצה מקומית,10893,0.813031161,1280,36,1267,0.1175
2010,2,הדרום,רהט,מועצה מקומית,14079,0.710781517,2999,9,2996,0.213
2010,2,הדרום,שגב-שלום,מועצה מקומית,2076,0.736677116,554,2,553,0.2668
2010,2,הדרום,שדרות,מועצה מקומית,10896,0.715648855,899,52,896,0.0825
