סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
144       ,גן שלמה                  ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,611       ,77        ,128       ,199       ,64        ,48        ,95
145       ,גדיש                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,356       ,25        ,59        ,115       ,63        ,45        ,49
146       ,דבורה                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,323       ,21        ,73        ,90        ,39        ,30        ,70
147       ,גבעת ברנר                ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,2813      ,201       ,628       ,891       ,430       ,183       ,480
154       ,תל מונד                  ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,13793     ,936       ,3622      ,4601      ,2324      ,1128      ,1182
155       ,באר טוביה                ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1221      ,103       ,330       ,390       ,164       ,74        ,160
156       ,עיינות                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,203       ,20        ,28        ,132       ,12        ,4         ,7
157       ,עין ורד                  ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1645      ,115       ,444       ,505       ,265       ,116       ,200
158       ,נען                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1863      ,189       ,348       ,688       ,201       ,97        ,340
159       ,בית חנן                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,695       ,51        ,127       ,225       ,96        ,66        ,130
160       ,חולדה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1134      ,135       ,365       ,333       ,137       ,56        ,108
162       ,חירות                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1424      ,99        ,395       ,423       ,239       ,123       ,145
163       ,תימורים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,859       ,58        ,157       ,309       ,125       ,107       ,103
164       ,מלאה                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,396       ,35        ,82        ,151       ,48        ,36        ,44
165       ,ניר יפה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,669       ,46        ,223       ,225       ,56        ,30        ,89
166       ,גן יבנה                  ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,24186     ,1745      ,6271      ,8733      ,3562      ,1979      ,1896
167       ,עין החורש                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,939       ,85        ,160       ,295       ,100       ,66        ,233
168       ,כפר יונה                 ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,23281     ,2189      ,5567      ,8518      ,2782      ,1857      ,2368
170       ,כפר יעבץ                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,709       ,67        ,176       ,240       ,90        ,65        ,71
171       ,פרדסיה                   ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,6635      ,450       ,1215      ,2487      ,816       ,822       ,845
173       ,גבעת חיים )מאוחד(        ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1205      ,79        ,225       ,404       ,155       ,76        ,266
174       ,נטעים                    ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,781       ,49        ,192       ,255       ,142       ,61        ,82
175       ,אביחיל                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1411      ,109       ,315       ,428       ,178       ,131       ,250
176       ,אפיקים                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1407      ,85        ,218       ,479       ,166       ,120       ,339
177       ,כפר ביל"ו                ,44        ,רחובות                   ,44        ,רחובות                   ,30        ,גזר                      ,1180      ,92        ,225       ,397       ,170       ,118       ,178
178       ,רמת יוחנן                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1167      ,111       ,195       ,462       ,122       ,91        ,186
